p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
7.582472526661644e-4,0.40958382909484303,0.269,0.185,1,ZoneC,spz-spz5
7.822514915125543e-4,0.2901598246430199,0.25,0.162,1,ZoneC,zfyve28
8.100914788842241e-4,0.31787456982005413,0.261,0.172,1,ZoneC,gpc6-2
8.461652284757454e-4,0.4337847251560949,0.72,0.691,1,ZoneC,vha16
8.524276794372982e-4,0.35395473965355806,0.448,0.344,1,ZoneC,cct6
0.00091804701704895195,0.6618169974409931,0.336,0.244,1,ZoneC,gale-2
9.305379801932685e-4,0.35637304945559545,0.504,0.393,1,ZoneC,LASC007797
9.358008035125268e-4,0.7782068829708186,0.649,0.621,1,ZoneC,iah1
9.3599982816077e-4,0.289231207551951,0.522,0.431,1,ZoneC,cals
9.415807480810002e-4,0.3248469257601583,0.522,0.45,1,ZoneC,cubn-3
0.0010145890548658814,0.3384989516036834,0.616,0.511,1,ZoneC,igf2bp1
0.0010637365320530802,0.26373926265585446,0.201,0.12,1,ZoneC,LASC015845
0.001071083223653601,0.6818517363020548,0.526,0.456,1,ZoneC,me31b
0.0010760224425277317,0.677538053017714,0.433,0.344,1,ZoneC,sirp1
0.0011097294679107037,0.34642440803606983,0.276,0.186,1,ZoneC,LASC015911
0.0011185280447483035,0.29307409875931756,0.209,0.129,1,ZoneC,ecr-3
0.0011371979033629575,0.4233883568579073,0.899,0.901,1,ZoneC,LASC007267
0.001137782037207924,0.2682450482145794,0.433,0.331,1,ZoneC,ube2v2
0.0011443570148278862,0.3461204374535872,0.534,0.427,1,ZoneC,ter94-vcp
0.0011861220878698607,0.45240468591248006,0.522,0.429,1,ZoneC,snrpb-2
0.0011867423237302754,0.26612694169957535,0.265,0.178,1,ZoneC,atad1b
0.001228900589528889,0.5429347794611005,0.459,0.368,1,ZoneC,cg3556-15
0.0012290076629786245,0.26277216355498023,0.47,0.369,1,ZoneC,lamtor2-b
0.0013004416989352836,0.43452159764759424,0.84,0.815,1,ZoneC,cd63
0.001303310119260549,0.30987989174793795,0.556,0.472,1,ZoneC,pm20d2-5
0.0013175902119122035,0.3271387372681478,0.34,0.251,1,ZoneC,zmiz2
0.0013281971808356728,0.26496991618171817,0.403,0.314,1,ZoneC,sdc
0.0014728609702594645,0.40193015427624446,0.511,0.42,1,ZoneC,tpi
0.0016513942098045989,0.30507667713707376,0.448,0.355,1,ZoneC,smo-1
0.0017245813615003045,0.3487439417151543,0.425,0.341,1,ZoneC,slc9a3r1
0.0017299207152863705,0.6444060476637461,0.466,0.379,1,ZoneC,hcc
0.0019479286222971166,0.3176316515237724,0.459,0.385,1,ZoneC,nnmt-v1g200856
0.0019593302082194816,0.645243303255497,0.474,0.397,1,ZoneC,dusp4
0.0020217314221786147,0.937368179272994,0.735,0.699,1,ZoneC,cg3556-14
0.002140264742669698,0.684048407073238,0.466,0.379,1,ZoneC,hcb
0.002197777883757749,0.8905929773910646,0.612,0.563,1,ZoneC,hca
0.0022922232131091843,0.35702002692770946,0.243,0.162,1,ZoneC,LASC013355
0.002424125935573675,0.35797754673513493,0.306,0.226,1,ZoneC,elavl4-elavl2
0.002478721687509007,0.25678186559301186,0.366,0.27,1,ZoneC,sf3a2
0.0024865673706360248,0.3037781412677911,0.384,0.297,1,ZoneC,snrpg
0.0026685922107227726,0.3043715515894323,0.414,0.328,1,ZoneC,tpd52l2
0.0026865370772523344,0.28304506599131785,0.463,0.371,1,ZoneC,ybx1
0.0026932177441373914,0.4221589296965693,0.522,0.457,1,ZoneC,LASC018202
0.00276660753445134,0.2807239874962705,0.493,0.402,1,ZoneC,cdc42-2
0.00286567889470923,0.2523035043455579,0.44,0.358,1,ZoneC,sec23ip
0.002902736200537743,0.3192311970636518,0.414,0.347,1,ZoneC,LASC002299
0.0029361544717167957,0.4006461315336516,0.534,0.465,1,ZoneC,LASC020467
0.0029724598423286775,0.5605625674987574,0.306,0.23,1,ZoneC,LASC006111
0.00298712984888379,0.32255968701597704,0.504,0.442,1,ZoneC,vha26
0.0030315208083287913,0.2519129370323545,0.638,0.562,1,ZoneC,LASC021266
0.0031085272664900998,0.7043702117359822,0.515,0.443,1,ZoneC,LASC015205
0.0031790182836368996,0.342297016531965,0.593,0.527,1,ZoneC,ndufa4
0.0031935305450214767,0.37427823336541877,0.354,0.276,1,ZoneC,best3-4
0.003475864553615624,0.3077538846577582,0.53,0.445,1,ZoneC,stk39
0.003663884283982725,0.34095778694678325,0.631,0.577,1,ZoneC,lamp1-2
